ttrip_id,expan_fac,expan_fac/10,av1,autodis,autotime,num_cars,parking_fare,congcharg,av2,av3,walktime,walkdis,av4,biketime,bikedis,av5,bus_transittime,bus_transitwalktime,bus_transitinvehtime,bus_transitnumtransfers,bus_fare,av6,rail_transittime,rail_transitwalktime,rail_transitinvehtime,rail_transitnumtransfers,rail_fare,av8,pnk_transittime,pnk_fare,pnk_transitnumtransfers,pnk_transitwalktime,expan_fac,avdis,avtime,avptdis,avpttime,avptwalkdis,avptWalkTime,avptInVehDis,avptInVehTime,avptNumSteps,avptTransitLineNames
70780510201,343.96,34.396,1,21595,3731,2,3.34,1,1,1,15253,20274,1,4696,23490,0,0,0,0,0,0,1,3910,1570,2340,0,4.15,1,3910,4.15,0,1570,343.96,5258,687,21861,2360,175,153,21686,1860,2,southeastern/521/
70780510301,399.54,39.954,1,21202,3441,2,1.52,1,1,1,14554,19470,1,4353,22182,0,0,0,0,0,0,1,3062,741,2084,1,4.15,1,3062,4.15,1,741,399.54,5258,687,21741,1944,690,563,21051,1380,1,southeastern/
70781310101,637.26,63.726,1,25413,3661,1,3.04,1,1,1,16322,21781,1,4589,23790,0,0,0,0,0,0,1,3787,1629,2160,0,4.15,1,3787,4.15,0,1629,637.26,2518,343,23176,2357,949,742,22227,1260,2,southeastern/Jubilee/
70781510301,1075.62,107.562,1,27897,3313,2,3.04,1,1,1,16637,22215,1,4965,25630,0,0,0,0,0,0,1,2384,467,1920,0,4.15,1,2384,4.15,0,467,1075.62,2988,410,22272,1800,0,0,22272,1800,1,southeastern/
70781610101,295.42,29.542,1,30322,3964,0,3.04,1,1,1,18242,24313,1,5509,27407,0,0,0,0,0,0,1,3535,1079,2160,1,4.15,1,3535,4.15,1,1079,295.42,2499,356,24326,2811,525,452,23801,2040,2,southeastern/Bakerloo/
70781610201,324.81,32.481,1,29403,3660,0,3.04,1,1,1,17726,23593,1,5278,26818,0,0,0,0,0,0,1,3456,1098,2040,1,4.15,1,3456,4.15,1,1098,324.81,2499,356,23472,2732,629,471,22843,1920,2,southeastern/Bakerloo/
80423010201,398.27,39.827,1,27755,3656,0,3.04,1,1,1,16346,21657,1,4944,24169,0,0,0,0,0,0,1,4291,1766,2100,1,4.15,1,4291,4.15,1,1766,398.27,9683,1164,25859,2533,923,692,24936,1500,2,southeastern/Jubilee/
80462210401,679.65,67.965,1,22584,3425,3,3.04,1,1,1,14155,18806,1,4220,21192,0,0,0,0,0,0,1,3188,1506,1680,0,4.15,1,3188,4.15,0,1506,679.65,11678,1199,22765,2190,493,390,22272,1800,1,southeastern/
80651310101,513.53,51.353,1,23378,3376,2,3.04,0,1,1,15170,20168,1,4339,21693,0,0,0,0,0,0,1,3195,1270,1920,0,4.15,1,3195,4.15,0,1270,513.53,5944,731,24464,2705,403,305,24061,2400,1,southeastern/
80671610101,824.72,82.472,1,24772,3676,0,1.52,1,1,1,16447,22200,1,4848,24917,0,0,0,0,0,0,1,3058,417,1956,1,4.85,1,3058,4.85,1,417,824.72,2966,430,21466,1756,415,376,21051,1380,1,southeastern/
80680910201,322.12,32.212,1,48871,4017,1,2.46,0,1,1,21116,28254,1,6489,32114,0,0,0,0,0,0,1,3463,522,2436,2,4.85,1,3463,4.85,2,522,322.12,2467,394,25125,2640,272,225,24853,2160,2,southeastern/Northern/
80681110101,298.4,29.84,1,46258,3808,1,1.98,0,1,1,20481,27406,1,6470,32084,0,0,0,0,0,0,1,3815,2039,1380,1,4.85,1,3815,4.85,1,2039,298.4,2187,352,25343,2669,931,652,24412,1620,2,southeastern/Northern/
80681910201,555.62,55.562,1,30954,3426,1,3.34,1,1,1,18672,24952,1,5704,28381,0,0,0,0,0,0,1,3661,2334,1320,0,4.85,1,3661,4.85,0,2334,555.62,2023,383,24271,2795,503,469,23768,1980,2,southeastern/District/
80690110101,360.57,36.057,1,22208,2664,1,3.34,1,1,1,13893,18570,1,3955,19074,0,0,0,0,0,0,1,3592,1424,1805,1,4.15,1,3592,4.15,1,1424,360.57,7939,959,21122,2221,203,187,20919,1680,2,southeastern/521/
80690110201,295.43,29.543,1,25585,3417,1,3.04,1,1,1,15623,20795,1,4686,22916,0,0,0,0,0,0,1,3419,1143,1980,1,4.15,1,3419,4.15,1,1143,295.43,7939,959,24248,2749,447,390,23801,2040,2,southeastern/Bakerloo/
80690910201,532.44,53.244,1,19847,2083,2,1.24,0,1,1,13080,17640,1,3693,18412,0,0,0,0,0,0,1,4128,1289,2125,2,2.7,1,4128,2.7,2,1289,532.44,7470,901,21213,2599,689,624,20524,1470,2,southeastern/RV1/
80690910301,529.63,52.963,1,24531,3782,2,3.04,1,1,1,15750,20946,1,4669,23621,0,0,0,0,0,0,1,4245,1170,2220,2,4.15,1,4245,4.15,2,1170,529.63,7470,901,24374,2849,573,483,23801,2040,2,southeastern/Bakerloo/
80691910301,712.64,71.264,1,28515,3970,2,1.15,0,1,1,19166,25414,1,5635,26832,0,0,0,0,0,0,1,5095,1192,3265,2,4.85,1,5095,4.85,2,1192,712.64,6508,895,28518,3720,1105,911,27413,2520,2,southeastern/District/
80711010101,485.86,48.586,1,29419,3438,2,2.46,1,1,1,18652,24843,1,5540,27579,0,0,0,0,0,0,1,3431,1286,1800,1,4.85,1,3431,4.85,1,1286,485.86,1707,395,22981,2402,378,347,22603,1800,2,southeastern/171/
80711410201,249.3,24.93,1,26172,2931,1,1.24,0,1,1,17233,23112,1,5326,26375,0,0,0,0,0,0,1,3271,1518,1443,1,4.85,1,3271,4.85,1,1518,249.3,1761,380,21348,2466,551,482,20797,1470,2,southeastern/40/
80712710101,306.11,30.611,1,25894,4230,1,3.34,1,1,1,18121,24275,1,5474,27339,0,0,0,0,0,0,1,3876,1494,1928,1,4.85,1,3876,4.85,1,1494,306.11,2034,338,21902,2469,374,319,21528,1800,2,southeastern/521/
80712710201,298.45,29.845,1,25185,4036,1,3.34,1,1,1,18132,24306,1,5486,27310,0,0,0,0,0,0,1,3785,1495,1842,1,4.85,1,3785,4.85,1,1495,298.45,2034,338,21629,2403,376,318,21253,1740,2,southeastern/521/
80780210201,381.04,38.104,1,20523,3562,2,2.46,1,1,1,14631,19448,1,4566,22806,0,0,0,0,0,0,1,3050,463,2580,0,4.15,1,3050,4.15,0,463,381.04,6156,741,21976,2509,448,359,21528,1800,2,southeastern/521/
80781010401,339.64,33.964,1,27174,3961,3,3.04,0,1,1,18530,24636,1,5403,27274,0,0,0,0,0,0,1,3897,952,2556,1,4.15,1,3897,4.15,1,952,339.64,3269,452,26684,3966,490,376,26194,3188,2,southeastern/9/
80781110101,441.91,44.191,1,23819,2566,1,3.34,1,1,1,14384,19364,1,4088,20654,0,0,0,0,0,0,1,3031,906,1693,1,4.15,1,3031,4.15,1,906,441.91,3529,525,21024,2478,349,329,20675,1620,2,southeastern/RV1/
80781110201,497.91,49.791,1,23819,2566,1,3.34,1,1,1,14384,19364,1,4088,20654,0,0,0,0,0,0,1,3031,906,1693,1,4.15,1,3031,4.15,1,906,497.91,3529,525,21024,2478,349,329,20675,1620,2,southeastern/RV1/
80781510101,352.98,35.298,1,29235,3511,1,2.46,1,1,1,18052,24081,1,5412,27077,0,0,0,0,0,0,1,3761,1106,2412,1,4.15,1,3761,4.15,1,1106,352.98,3221,445,23955,2778,532,458,23423,2088,2,southeastern/168/
80801810201,313.35,31.335,1,28754,3607,1,1.98,1,1,1,19986,26733,1,6342,31336,0,0,0,0,0,0,1,3785,811,2140,2,4.85,1,3785,4.85,2,811,313.35,3484,541,24466,2524,1068,612,23398,1500,2,southeastern/Northern/
80803210201,431.34,43.134,1,24175,3446,0,3.04,1,1,1,17337,23147,1,5091,25491,0,0,0,0,0,0,1,4483,1463,2460,1,4.85,1,4483,4.85,1,1463,431.34,5662,834,23160,2368,933,753,22227,1260,2,southeastern/Jubilee/
80811310101,434.56,43.456,1,28605,3223,1,3.04,1,1,1,17553,23411,1,4878,24181,0,0,0,0,0,0,1,2552,1113,1440,0,4.85,1,2552,4.85,0,1113,434.56,5643,822,24524,2764,463,364,24061,2400,1,southeastern/
80811310201,469.11,46.911,1,20721,2486,1,1.71,0,1,1,14274,19178,1,3915,20476,0,0,0,0,0,0,1,4134,1648,1899,1,2.95,1,4134,2.95,1,1648,469.11,5643,822,21034,2219,1625,1198,19409,1020,1,southeastern/
80811410101,349.53,34.953,1,25174,2805,1,3.34,1,1,1,16665,22253,1,4813,23521,0,0,0,0,0,0,1,4130,1490,2640,0,4.85,1,4130,4.85,0,1490,349.53,5686,846,20975,2119,264,228,20711,1530,2,southeastern/521/
90441310101,391.46,39.146,1,25382,2692,1,3.34,1,1,1,15001,20105,1,4398,21219,0,0,0,0,0,0,1,3932,1812,1845,1,4.85,1,3932,4.85,1,1812,391.46,8061,1128,20354,1787,945,767,19409,1020,1,southeastern/
90650910301,572.93,57.293,1,15662,2558,3,1.71,0,1,1,10765,14547,1,3094,15682,0,0,0,0,0,0,1,3339,1653,1440,1,2.7,1,3339,2.7,1,1653,572.93,6712,863,22544,2185,1078,813,21466,1080,2,southeastern/Jubilee/
90670610101,339.72,33.972,1,25758,4552,1,3.04,0,1,1,17791,23435,1,5258,25690,0,0,0,0,0,0,1,4150,699,2463,2,4.15,1,4150,4.15,2,699,339.72,5721,753,27016,2293,321,261,26695,1680,2,southeastern/Jubilee/
90671610201,278.03,27.803,1,24595,3534,2,1.71,1,1,1,16257,21937,1,4790,24833,0,0,0,0,0,0,1,3095,1393,1461,1,4.85,1,3095,4.85,1,1393,278.03,1946,356,20446,1908,124,124,20322,1548,2,southeastern/381/
90672310101,179.86,17.986,1,25930,2788,2,1.24,0,1,1,16635,22536,1,4766,23797,0,0,0,0,0,0,1,4152,1329,1985,3,2.95,1,4152,2.95,3,1329,179.86,2139,392,21796,3048,1272,1074,20524,1470,2,southeastern/RV1/
90673010102,223.94,22.394,1,28025,3219,1,3.04,1,1,1,17779,23723,1,5219,26315,0,0,0,0,0,0,1,3724,2090,1620,0,4.85,1,3724,4.85,0,2090,223.94,2913,433,22589,2324,436,408,22153,1680,2,southeastern/59/
90680110201,302.34,30.234,1,27685,3598,1,0.55,0,1,1,19615,26170,1,5723,29904,0,0,0,0,0,0,1,5080,1199,3096,2,2.95,1,5080,2.95,2,1199,302.34,3304,492,29394,3727,719,662,28675,2340,3,southeastern/South West Trains/319/
90680710301,331.77,33.177,1,45904,3279,3,3.34,1,1,1,18927,25251,1,5443,26651,0,0,0,0,0,0,1,4061,1291,2405,1,4.85,1,4061,4.85,1,1291,331.77,3268,511,20993,2100,74,73,20919,1680,2,southeastern/521/
90681210201,349.87,34.987,1,49950,4178,2,3.04,1,1,1,19977,26615,1,6061,29684,0,0,0,0,0,0,1,3582,565,1877,2,4.85,1,3582,4.85,2,565,349.87,2540,414,25530,2302,594,456,24936,1500,2,southeastern/Jubilee/
90681910102,302.34,30.234,1,29913,4006,1,1.15,0,1,1,19269,25614,1,5572,27308,0,0,0,0,0,0,1,3156,1120,1688,1,4.85,1,3156,4.85,1,1120,302.34,4248,606,26129,2947,321,322,25808,2008,3,southeastern/Jubilee/14/
90690910101,496.89,49.689,1,20701,3428,1,3.34,1,1,1,14161,18909,1,4371,21426,0,0,0,0,0,0,1,3736,1395,2340,0,4.15,1,3736,4.15,0,1395,496.89,6877,915,21579,2598,585,533,20994,1740,2,southeastern/17/
90711210201,266.78,26.678,1,33287,4282,1,3.04,1,1,1,19022,25423,1,5639,28352,0,0,0,0,0,0,1,4029,1225,1802,2,4.85,1,4029,4.85,2,1225,266.78,3583,489,25454,2235,518,389,24936,1500,2,southeastern/Jubilee/
90761110201,615.72,61.572,1,22568,2731,2,2.46,1,1,1,13841,18449,1,4271,20890,0,0,0,0,0,0,1,3678,1202,1947,2,3.35,1,3678,3.35,2,1202,615.72,8461,989,23364,2568,449,411,22915,1920,2,southeastern/X68/
90780810201,611.09,61.109,1,22995,3634,1,3.34,1,1,1,15513,20769,1,4456,22497,0,0,0,0,0,0,1,3013,1085,1920,0,4.15,1,3013,4.15,0,1085,611.09,3359,465,21184,2777,555,436,20629,2340,1,southeastern/
