ttrip_id,oeast,onrth,deast,denrth,expan_fac,expan_fac/10,choice,av1,autodis,autotime,num_cars,parking_fare,congcharg,av2,av3,walktime,walkdis,av4,biketime,bikedis,av5,bus_transittime,bus_transitwalktime,bus_transitinvehtime,bus_transitnumtransfers,bus_fare,av6,rail_transittime,rail_transitwalktime,rail_transitinvehtime,rail_transitnumtransfers,rail_fare,av8,pnk_transittime,pnk_fare,pnk_transitnumtransfers,pnk_transitwalktime
70711810401.00,545936,165374,543802,164935,435.95,43.595,1,1,2871,407,3,0.47,0,1,1,2208,2851,1,699,2866,1,1243,497,773,0,1.3,0,0,0,0,0,0,1,1243,1.3,0,497
50662210101.00,543876,159176,542044,158688,393.1,39.31,1,1,3402,422,2,0.47,0,1,1,2191,2947,1,634,2947,1,1219,587,600,0,1.3,0,0,0,0,0,0,1,1219,1.3,0,587
70651110401.00,543235,168994,543289,167542,296.42,29.642,1,1,1842,268,1,0.47,0,1,1,1346,1838,1,372,1842,1,992,556,440,0,1.3,0,0,0,0,0,0,1,992,1.3,0,556
80671820101.00,544780,165766,544228,169934,988.3,98.83,1,1,6029,669,1,0.47,0,1,1,4353,5882,1,1201,6122,1,1671,554,1116,0,1.3,1,2333,713,936,2,1.65,1,2002,1.475,1,633
70812010201.00,547444,168449,544587,169860,533.21,53.321,1,1,3775,492,1,0.47,0,1,1,2869,3668,1,1009,3775,1,1298,899,397,0,1.3,0,0,0,0,0,0,1,1298,1.3,0,899
60442010101.00,548176,171005,546899,171133,287.85,28.785,1,1,1776,336,1,0.47,0,1,1,1359,1776,1,479,1842,1,971,756,240,0,1.3,0,0,0,0,0,0,1,971,1.3,0,756
90800110202.00,544956,170418,546171,166114,459.85,45.985,1,1,5704,646,1,0.47,0,1,1,4047,5524,1,1087,5867,1,1604,668,941,0,1.3,0,0,0,0,0,0,1,1604,1.3,0,668
60802710101.00,546883,166628,547726,170309,466.11,46.611,1,1,4673,697,1,0.47,0,1,1,3380,4567,1,882,4673,1,1629,903,738,0,1.3,0,0,0,0,0,0,1,1629,1.3,0,903
70651110201.00,543235,168994,543289,167542,296.42,29.642,1,1,1842,268,1,0.47,0,1,1,1346,1838,1,372,1842,1,992,556,440,0,1.3,0,0,0,0,0,0,1,992,1.3,0,556
90761210201.00,543927,171546,547166,168651,724.2,72.42,1,1,5968,734,2,0.47,0,1,1,4085,5568,1,1171,6616,1,2037,1219,807,0,1.3,0,0,0,0,0,0,1,2037,1.3,0,1219
90690110301.00,544122,168405,544622,166870,294.01,29.401,1,1,2226,343,2,0.47,0,1,1,1389,1869,1,379,1869,1,1185,957,228,0,1.3,0,0,0,0,0,0,1,1185,1.3,0,957
90711610301.00,545897,166344,540562,165786,321.23,32.123,1,1,7813,900,3,0.47,0,1,1,5248,7051,1,1548,7657,1,1925,750,1186,0,1.3,1,2453,1099,1053,1,1.65,1,2189,1.475,0.5,924
80810410401.00,546505,168161,543538,171053,393.93,39.393,1,1,5187,671,1,0.47,0,1,1,3653,4800,1,1173,5108,1,1230,555,676,0,1.3,1,2229,644,960,1,2.25,1,1729.5,1.775,0.5,599
80671820102.00,544228,169934,546977,169670,988.3,98.83,1,1,3984,452,1,0.47,0,1,1,2875,4064,1,721,4369,1,1719,1391,332,0,1.3,0,0,0,0,0,0,1,1719,1.3,0,1391
90672010302.00,542273,165799,543802,164935,218.25,21.825,1,1,2692,360,2,0.47,0,1,1,1864,2379,1,702,2619,1,932,632,300,0,1.3,0,0,0,0,0,0,1,932,1.3,0,632
70711010101.00,545381,166550,546378,166471,465.87,46.587,1,1,1539,251,2,0.47,0,1,1,1065,1524,1,277,1539,1,946,656,289,0,1.3,0,0,0,0,0,0,1,946,1.3,0,656
70780410401.00,543098,168504,542275,168896,138.37,13.837,1,1,1450,180,2,0.47,0,1,1,1038,1401,1,309,1415,1,737,592,144,0,1.3,0,0,0,0,0,0,1,737,1.3,0,592
80712110201.00,544940,165643,543802,164935,292.74,29.274,1,1,1820,301,1,0.47,0,1,1,1317,1801,1,323,1844,1,975,740,233,0,1.3,0,0,0,0,0,0,1,975,1.3,0,740
50711710102.00,543802,164935,545386,165787,679.34,67.934,1,1,2100,304,1,0.47,0,1,1,1505,2089,1,405,2140,1,919,550,350,0,1.3,0,0,0,0,0,0,1,919,1.3,0,550
80811210301.00,545921,168452,542533,169755,807.86,80.786,1,1,4755,647,1,0.47,0,1,1,3626,4755,1,1232,5629,1,2445,1683,475,1,1.3,1,1963,1662,300,0,1.45,1,2204,1.375,0.5,1672
50662210201.00,543876,159176,546454,166762,391.65,39.165,1,1,9440,1106,2,0.47,0,1,1,6488,8916,1,1734,8924,1,2475,1114,1380,0,1.3,0,0,0,0,0,0,1,2475,1.3,0,1114
90780810103.00,544818,166520,543925,167228,663.49,66.349,1,1,1549,208,1,0.47,0,1,1,1122,1519,1,313,1549,1,343,114,236,0,1.3,0,0,0,0,0,0,1,343,1.3,0,114
90673010101.00,544272,165750,545157,166602,223.94,22.394,1,1,2279,297,1,0.47,0,1,1,1589,2187,1,467,2400,1,912,744,167,0,1.3,0,0,0,0,0,0,1,912,1.3,0,744
90802610202.00,546636,168260,547473,167114,459.85,45.985,1,1,1940,310,1,0.47,0,1,1,1365,1812,1,432,1815,1,925,724,199,0,1.3,0,0,0,0,0,0,1,925,1.3,0,724
70650310301.00,541647,167790,542533,169755,597.04,59.704,1,1,3381,474,1,0.47,0,1,1,2084,2733,1,653,2733,1,1958,1884,87,0,1.3,1,2014,1245,480,1,1.45,1,1986,1.375,0.5,1564
80711710101.00,544439,164667,541797,165342,264.18,26.418,1,1,3400,390,1,0.47,0,1,1,2516,3395,1,694,3395,1,1761,1413,350,0,1.3,0,0,0,0,0,0,1,1761,1.3,0,1413
80712110204.00,544738,165822,544306,165419,292.74,29.274,1,1,722,122,1,0.47,0,1,1,526,717,1,132,779,1,502,452,49,0,1.3,0,0,0,0,0,0,1,502,1.3,0,452
90690110102.00,544822,166769,545587,163634,301.67,30.167,1,1,4636,515,2,0.47,0,1,1,2926,3808,1,1065,5332,1,1981,1201,780,0,1.3,0,0,0,0,0,0,1,1981,1.3,0,1201
50662510202.00,541082,160848,541970,158993,453.06,45.306,1,1,2265,280,2,0.47,0,1,1,1748,2265,1,568,2265,1,357,190,213,0,1.3,0,0,0,0,0,0,1,357,1.3,0,190
50711710401.00,545386,165787,543802,164935,757.25,75.725,1,1,2108,283,1,0.47,0,1,1,1580,2089,1,445,2104,1,830,529,300,0,1.3,0,0,0,0,0,0,1,830,1.3,0,529
70682310201.00,546113,164605,543210,168258,355.66,35.566,1,1,6922,907,2,0.47,0,1,1,4312,5731,1,1437,6608,1,2452,1403,1053,0,1.3,0,0,0,0,0,0,1,2452,1.3,0,1403
60660810101.00,543018,159996,542587,159426,392.08,39.208,1,1,2683,393,3,0.47,0,1,1,1980,2683,1,572,2683,1,779,526,282,0,1.3,0,0,0,0,0,0,1,779,1.3,0,526
70781510102.00,547968,165867,544722,167399,678.8,67.88,1,1,4727,572,2,0.47,0,1,1,3076,4157,1,1022,4157,1,1679,372,1031,1,1.3,1,1714,452,940,1,1.65,1,1696.5,1.475,1,412
