ttrip_id,expan_fac,expan_fac/10,choice,av1,autodis,autotime,num_cars,parking_fare,congcharg,av2,av3,walktime,walkdis,av4,biketime,bikedis,av5,bus_transittime,bus_transitwalktime,bus_transitinvehtime,bus_transitnumtransfers,bus_fare,av6,rail_transittime,rail_transitwalktime,rail_transitinvehtime,rail_transitnumtransfers,rail_fare,av8,pnk_transittime,pnk_fare,pnk_transitnumtransfers,pnk_transitwalktime
1.208E+11,342.7,34.27,5,1,5349,695,0,0.47,0,1,1,3285,4236,1,1208,5087,1,1555,685,870,0,1.3,0,0,0,0,0,0,1,1555,1.3,0,685
1.10692E+11,258.9,25.89,5,1,1187,204,0,0.47,0,1,1,693,921,1,266,1187,1,504,443,60,0,1.3,0,0,0,0,0,0,1,504,1.3,0,443
1.00682E+11,557.49,55.749,5,1,3255,448,1,0.47,0,1,1,2392,3202,1,775,3223,1,1649,942,720,0,1.3,0,0,0,0,0,0,1,1649,1.3,0,942
1.00811E+11,334.5,33.45,5,1,3389,506,0,0.47,0,1,1,2448,3254,1,797,3389,1,1753,1291,460,0,1.3,0,0,0,0,0,0,1,1753,1.3,0,1291
1.10682E+11,590.51,59.051,5,1,3407,469,0,0.47,0,1,1,2381,3348,1,660,3355,1,1049,91,958,0,1.3,1,1527,640,443,1,1.45,1,1288,1.375,0.5,365
1.10782E+11,179.12,17.912,5,1,814,137,0,0.47,0,1,1,559,757,1,189,814,1,472,377,101,0,1.3,0,0,0,0,0,0,1,472,1.3,0,377
1.20671E+11,372.24,37.224,5,1,3190,477,2,0.47,0,1,1,2427,3115,1,756,3117,1,1316,1016,300,0,1.3,0,0,0,0,0,0,1,1316,1.3,0,1016
1.20671E+11,342.7,34.27,5,1,2668,379,1,0.47,0,1,1,2046,2668,1,812,3228,1,1024,734,288,0,1.3,0,0,0,0,0,0,1,1024,1.3,0,734
1.10811E+11,663.35,66.335,5,1,4398,524,0,0.47,0,1,1,3317,4367,1,1033,4480,1,1234,751,482,0,1.3,0,0,0,0,0,0,1,1234,1.3,0,751
1.00712E+11,382.99,38.299,5,1,3335,456,2,0.47,0,1,1,2482,3335,1,703,3456,1,1467,1238,228,0,1.3,0,0,0,0,0,0,1,1467,1.3,0,1238
1.00782E+11,997.42,99.742,5,1,4694,657,2,0.47,0,1,1,3135,4093,1,1036,4541,1,1989,1451,529,0,1.3,1,1691,1504,180,0,1.65,1,1840,1.475,0,1477
1.1081E+11,521.8,52.18,5,1,3735,416,0,0.47,0,1,1,2746,3582,1,864,3721,1,1293,594,686,0,1.3,0,0,0,0,0,0,1,1293,1.3,0,594
1.00812E+11,700.13,70.013,5,1,4311,551,1,0.47,0,1,1,3589,4739,1,993,4341,1,2550,2127,422,0,1.3,0,0,0,0,0,0,1,2550,1.3,0,2127
1.10811E+11,663.35,66.335,5,1,4570,530,0,0.47,0,1,1,3182,4369,1,872,4566,1,1198,727,470,0,1.3,0,0,0,0,0,0,1,1198,1.3,0,727
1.00682E+11,500.23,50.023,5,1,7792,872,1,0.47,0,1,1,5032,6864,1,1696,7872,1,2493,1275,1183,0,1.3,0,0,0,0,0,0,1,2493,1.3,0,1275
1.10761E+11,777.37,77.737,5,1,5770,705,1,0.47,0,1,1,4222,5679,1,1224,6091,1,2587,1427,1160,0,1.3,0,0,0,0,0,0,1,2587,1.3,0,1427
1.2042E+11,523.15,52.315,5,1,1289,263,0,0.47,0,1,1,970,1286,1,316,1289,1,581,355,225,0,1.3,0,0,0,0,0,0,1,581,1.3,0,355
1.20781E+11,667.27,66.727,5,1,2572,380,0,0.47,0,1,1,1794,2423,1,505,2572,1,668,166,521,0,1.3,0,0,0,0,0,0,1,668,1.3,0,166
1.00811E+11,455.08,45.508,5,1,4850,657,1,0.47,0,1,1,3278,4337,1,1138,4848,1,1807,845,960,0,1.3,0,0,0,0,0,0,1,1807,1.3,0,845
1.00811E+11,276.21,27.621,5,1,3006,476,2,0.47,0,1,1,1919,2554,1,637,2568,1,913,378,536,0,1.3,0,0,0,0,0,0,1,913,1.3,0,378
1.10712E+11,361.65,36.165,5,1,3034,435,1,0.47,0,1,1,2332,3014,1,802,3029,1,1260,466,773,0,1.3,0,0,0,0,0,0,1,1260,1.3,0,466
1.20672E+11,320.07,32.007,5,1,1834,244,1,0.47,0,1,1,1265,1687,1,360,1687,1,424,141,282,0,1.3,0,0,0,0,0,0,1,424,1.3,0,141
1.20812E+11,981.8,98.18,5,1,7738,1019,0,0.47,0,1,1,5278,7059,1,1847,8549,1,3196,1259,1670,1,1.3,1,2945,1687,780,1,1.65,1,3070.5,1.475,1,1473
1.20711E+11,673.13,67.313,5,1,4498,685,0,0.47,0,1,1,1899,2708,1,531,2697,1,1144,530,613,0,1.3,0,0,0,0,0,0,1,1144,1.3,0,530
